"","Country","total_doses_delivered","quantity","Population","doses_per_million","quantity_per_million","Region","Industry","Subcategory","usa_quantity","usa_quantity_per_million"
"78","Myanmar",69200000,3.29e+09,54409794,1271829.847,60467054.88,"SE Asia",NA,NA,NA,NA
"79","Vietnam",6500000,3.19e+09,97338583,66777.22029,32772205.04,"SE Asia",NA,NA,NA,NA
"80","Thailand",55200000,2.15e+09,69799978,790831.1948,30802301.97,"SE Asia","All Industries Total","All Industries Total",1.03399e+11,1481361498.42339
"81","Bhutan",50000,0,771612,64799.40696,0,"SE Asia",NA,NA,NA,NA
"82","Brunei",152000,0,437483,347442.072,0,"SE Asia",NA,NA,NA,NA
"83","Papua New Guinea",2e+05,0,8947027,22353.79417,0,"SE Asia",NA,NA,NA,NA
"84","Timor-Leste",1e+05,0,1318442,75847.09832,0,"SE Asia",NA,NA,NA,NA
"85","India",0,1.27e+10,1380004385,0,9210115.662,"South Asia","All Industries Total","All Industries Total",2.46725e+11,178785663.786134
"86","Pakistan",123260000,8.63e+09,220892331,558009.4132,39068807.69,"South Asia",NA,NA,NA,NA
"87","Bangladesh",82590000,5.9e+09,164689383,501489.5222,35825017.33,"South Asia",NA,NA,NA,NA
"88","Afghanistan",1400000,0,38928341,35963.51563,0,"South Asia",NA,NA,NA,NA
"89","Sri Lanka",2.6e+07,3.3e+09,21919000,1186185.501,150554313.6,"South Asia",NA,NA,NA,NA
"90","Maldives",205000,1.1e+08,540542,379248.976,203499450.6,"South Asia",NA,NA,NA,NA
"91","Congo",NA,NA,NA,NA,NA,"Sub-Saharan Africa",NA,NA,NA,NA
"92","Nigeria",470000,7.5e+09,206139587,2280.008449,36383113.55,"Sub-Saharan Africa","All Industries Total","All Industries Total",3.2855e+10,159382292.737396
"93","Democratic Republic of the Congo",4e+05,5.62e+09,89561404,4466.209574,62750244.51,"Sub-Saharan Africa",NA,NA,NA,NA
"94","South Africa",0,2.85e+09,59308690,0,48053666.33,"Sub-Saharan Africa","All Industries Total","All Industries Total",5.066e+10,854174995.266292
"95","Tanzania",1353116,1.93e+09,59734213,22652.27802,32309792.04,"Sub-Saharan Africa",NA,NA,NA,NA
"96","Guinea",1400000,1.54e+09,13132792,106603.3788,117263716.7,"Sub-Saharan Africa",NA,NA,NA,NA
"97","Zambia",113600,1.11e+09,18383956,6179.301125,60378734.59,"Sub-Saharan Africa",NA,NA,NA,NA
"98","Zimbabwe",24833600,1.1e+09,14862927,1670841.82,74009648.3,"Sub-Saharan Africa",NA,NA,NA,NA
"99","Ethiopia",1800000,1.03e+09,114963583,15657.13205,8959358.895,"Sub-Saharan Africa",NA,NA,NA,NA
"100","Kenya",2e+05,7.2e+08,53771300,3719.45629,13390042.64,"Sub-Saharan Africa",NA,NA,NA,NA
"101","Djibouti",3e+05,5.1e+08,988002,303643.11,516193287.1,"Sub-Saharan Africa",NA,NA,NA,NA
"102","Liberia",0,2.5e+08,5057677,0,49429807.4,"Sub-Saharan Africa",NA,NA,NA,NA
"103","Republic of Congo",1e+05,2.2e+08,5518092,18122.20601,39868853.22,"Sub-Saharan Africa",NA,NA,NA,NA
"104","Namibia",350000,2.1e+08,2540916,137745.6004,82647360.24,"Sub-Saharan Africa",NA,NA,NA,NA
"105","Uganda",1e+06,2e+08,45741000,21862.22426,4372444.853,"Sub-Saharan Africa",NA,NA,NA,NA
"106","Guinea-Bissau",3e+05,1.7e+08,1967998,152439.1793,86382201.61,"Sub-Saharan Africa",NA,NA,NA,NA
"107","Mali",0,1.3e+08,20250834,0,6419488.699,"Sub-Saharan Africa",NA,NA,NA,NA
"108","Chad",2e+05,1.1e+08,16425859,12175.92334,6696757.838,"Sub-Saharan Africa",NA,NA,NA,NA
"109","Botswana",804494,1e+08,2351625,342101.3129,42523786.74,"Sub-Saharan Africa",NA,NA,NA,NA
"110","Malawi",0,1e+08,19129955,0,5227403.828,"Sub-Saharan Africa",NA,NA,NA,NA
"111","Equatorial Guinea",6e+05,0,1402985,427659.5972,0,"Sub-Saharan Africa",NA,NA,NA,NA
"112","Angola",3700000,0,32866268,112577.4305,0,"Sub-Saharan Africa",NA,NA,NA,NA
"113","Benin",203000,0,12123198,16744.75662,0,"Sub-Saharan Africa",NA,NA,NA,NA
"114","Burkina Faso",4e+05,0,20903278,19135.75469,0,"Sub-Saharan Africa",NA,NA,NA,NA
"115","Burundi",5e+05,0,11890781,42049.38263,0,"Sub-Saharan Africa",NA,NA,NA,NA
"116","Cameroon",2e+05,0,26545864,7534.130364,0,"Sub-Saharan Africa",NA,NA,NA,NA
"117","Central African Republic",150000,0,4829764,31057.41813,0,"Sub-Saharan Africa",NA,NA,NA,NA
"118","Comoros",0,0,869595,0,0,"Sub-Saharan Africa",NA,NA,NA,NA
"119","Ivory Coast",1e+05,0,26378275,3790.998464,0,"Sub-Saharan Africa",NA,NA,NA,NA
"120","Gabon",1e+05,0,2225728,44929.11982,0,"Sub-Saharan Africa",NA,NA,NA,NA
"121","Lesotho",203340,0,2142252,94918.80507,0,"Sub-Saharan Africa",NA,NA,NA,NA
"122","Madagascar",3e+05,0,27691019,10833.8375,0,"Sub-Saharan Africa",NA,NA,NA,NA
"123","Mauritania",330000,0,4649660,70972.93135,0,"Sub-Saharan Africa",NA,NA,NA,NA
"124","Mauritius",1600000,0,1265740,1264082.671,0,"Sub-Saharan Africa",NA,NA,NA,NA
"125","Mozambique",2260000,0,31255435,72307.42429,0,"Sub-Saharan Africa",NA,NA,NA,NA
"126","Niger",4e+05,0,24206636,16524.39439,0,"Sub-Saharan Africa",NA,NA,NA,NA
"127","North Macedonia",1400000,0,2083380,671984.9475,0,"Sub-Saharan Africa",NA,NA,NA,NA
"128","Rwanda",2e+05,0,12952209,15441.38147,0,"Sub-Saharan Africa",NA,NA,NA,NA
"129","Senegal",832118,0,16743930,49696.69606,0,"Sub-Saharan Africa",NA,NA,NA,NA
"130","Sierra Leone",4e+05,0,7976985,50144.25876,0,"Sub-Saharan Africa",NA,NA,NA,NA
"131","Somalia",2e+05,0,15893219,12583.98314,0,"Sub-Saharan Africa",NA,NA,NA,NA
"132","South Sudan",0,0,11193729,0,0,"Sub-Saharan Africa",NA,NA,NA,NA
"133","Sudan",650000,0,43849269,14823.50823,0,"Sub-Saharan Africa",NA,NA,NA,NA
